City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,kharkhorin,47.1975,102.8238,31.77,64,12,23.11,MN,1713650319
208,puerto lempira,15.2667,-83.7667,87.94,70,40,10.36,HN,1713650320
209,ivdel',60.6911,60.4206,42.19,100,100,1.99,RU,1713650321
210,ahar,38.4774,47.0699,54.68,60,87,3.78,IR,1713650322
211,gordonvale,-17.0936,145.7842,76.91,95,72,4.41,AU,1713650324
212,burang,30.25,81.1667,22.89,75,18,3.51,CN,1713650326
213,badiyah,22.45,58.8,77.52,64,0,6.49,OM,1713650327
214,flin flon,54.7682,-101.865,48.04,34,75,10.36,CA,1713650328
215,nikolayevsk-on-amure,53.1406,140.73,31.21,92,98,5.01,RU,1713650330
216,san juan del sur,11.2529,-85.8705,93.42,55,75,0.0,NI,1713650331
217,vorkuta,67.5,64.0,11.1,96,100,8.01,RU,1713650332
218,axim,4.8699,-2.2405,83.03,84,79,9.44,GH,1713650333
219,hermiston,45.8404,-119.2895,70.95,27,0,5.01,US,1713650205
220,wajir,1.7471,40.0573,83.17,69,100,16.35,KE,1713650336
221,ancud,-41.8697,-73.8203,50.0,81,88,4.83,CL,1713650337
222,tolanaro,-25.0319,46.9987,71.67,88,20,0.0,MG,1713650338
223,sao gabriel da cachoeira,-0.1303,-67.0892,79.18,86,83,3.02,BR,1713650339
224,gebeit,21.0667,36.3167,74.89,27,0,3.87,SD,1713650340
225,susuman,62.7833,148.1667,10.58,95,98,2.17,RU,1713650342
226,la carolina,38.2756,-3.6153,52.03,85,62,2.84,ES,1713650344
227,khanbari,27.3747,87.2039,71.53,33,11,3.31,NP,1713650346
228,fort st. john,56.2499,-120.8529,53.49,19,0,11.5,CA,1713650346
229,kavaratti,10.5669,72.642,85.39,75,89,11.5,IN,1713650351
230,razgrad,43.5333,26.5167,43.59,74,100,3.65,BG,1713650352
231,kongolo,-5.3833,27.0,72.3,95,100,1.16,CD,1713650353
232,hamilton,39.1834,-84.5333,57.15,36,0,17.27,US,1713650107
233,maun,-19.9833,23.4167,69.37,43,0,5.53,BW,1713650356
234,shiqian,27.5225,108.2281,59.0,92,100,1.1,CN,1713650357
235,sao jose da coroa grande,-8.8978,-35.1478,80.65,78,84,6.67,BR,1713650359
236,buncrana,55.1333,-7.45,41.11,83,27,2.73,IE,1713650360
237,illela,13.7292,5.2975,91.92,15,88,3.44,NG,1713650362
238,weno,7.4515,151.8468,82.98,78,100,21.83,FM,1713650363
239,fortuna,40.5982,-124.1573,63.93,61,20,14.97,US,1713650365
240,clarence town,-32.5833,151.7833,68.99,97,90,2.66,AU,1713650366
241,arteche,12.2645,125.4048,78.85,86,99,4.12,PH,1713650367
242,sinjai,-5.1241,120.253,75.52,90,98,3.89,ID,1713650369
243,mirny,62.5353,113.9611,31.23,99,100,8.99,RU,1713650370
244,catumbela,-12.4314,13.5472,80.24,84,99,2.19,AO,1713650371
245,sitka,57.0531,-135.33,62.49,17,0,9.22,US,1713650375
246,turkestan,43.3333,68.25,69.1,34,12,24.61,KZ,1713650377
247,taggia,43.8485,7.8545,70.81,49,2,11.21,IT,1713650378
248,tamanrasset,22.785,5.5228,69.71,6,0,2.3,DZ,1713650379
249,bartonville,40.6503,-89.652,47.12,51,100,14.97,US,1713650380
250,nizhneangarsk,55.7833,109.55,26.01,86,100,4.0,RU,1713650382
251,crane,31.3974,-102.3501,54.16,81,100,17.16,US,1713650383
252,saynshand,44.8824,110.1163,55.38,30,77,22.01,MN,1713650384
253,lang son,21.8333,106.7333,73.87,92,100,4.72,VN,1713650386
254,waingapu,-9.6567,120.2641,78.13,91,78,9.66,ID,1713650389
255,mogocha,53.7333,119.7667,27.52,74,84,1.41,RU,1713650391
256,beichengqu,40.4394,113.1536,47.43,39,1,3.42,CN,1713650394
257,enewetak,11.3474,162.3373,82.11,79,59,17.63,MH,1713650396
258,pangai,-19.8,-174.35,82.51,78,40,14.97,TO,1713650397
259,marquette,46.5333,-87.6335,40.89,47,97,11.99,US,1713650399
260,tateyama,34.9833,139.8667,65.1,79,100,7.29,JP,1713650400
261,qaqortoq,60.7167,-46.0333,27.97,80,54,2.35,GL,1713650401
262,rengasdengklok,-6.1592,107.2981,78.93,84,100,4.29,ID,1713650405
263,mazagao,-0.115,-51.2894,80.65,98,100,4.0,BR,1713650407
